1000 175813 0.0 179179 7 400496400 14571,62844 20513,61274
1000 175813 0.2 215042 8 359717500 12843,91569 17237,52329
1000 175813 0.4 251164 11 489636500 19692,07546 31241,31181
10000 175813 0.0 179179 73 4048451900 152635,43323 225609,89508
10000 175813 0.2 214675 82 4329541500 194444,44557 273791,70834
10000 175813 0.4 250883 103 4480474600 210384,67119 290938,30664
10000 175813 0.6 286709 138 6960449800 298042,53061 420103,21828
10000 175813 0.6 286423 106 6877472600 226544,74585 314678,81389
10000 175813 0.8 322171 261 14357974300 602227,09915 826747,08338
10000 175813 1.0 358358 10000 135521087300 34801207,44089 49769478,90757
